StartIndst,FinalIndst,Counts
8520,8520,22719
8610,8610,18403
4711,4711,9006
6419,6419,6665
5610,5610,4467
8424,8424,4021
7820,7820,4019
4771,4771,3551
8411,8411,3390
8121,8121,3285
8520,8531,3284
8690,8690,3163
8520,8411,3067
5310,5310,3045
8542,8542,2956
6910,6910,2151
4719,4719,2091
8899,8899,1997
4120,4120,1905
6920,6920,1858
8610,8690,1855
5630,5630,1849
8690,8610,1724
7112,7112,1680
8411,8520,1552
6190,6190,1459
8810,8810,1428
4931,4931,1381
8531,8531,1345
6820,6820,1340
8531,8520,1339
6202,6202,1269
8010,8010,1233
4511,4511,1230
7820,8610,1207
8790,8790,1165
9200,9200,1110
5510,5510,1107
8413,8430,1105
4941,4941,1099
8520,8899,1082
8710,8710,1066
8430,8413,1053
7022,7022,1043
8110,8110,996
8730,8730,986
3513,3513,976
8423,8423,970
5621,5629,958
8610,7820,951
6622,6622,933
8532,8532,901
5221,5221,857
4673,4673,830
8891,8891,792
5110,5110,789
3030,3030,788
5210,5210,788
4754,4754,786
8621,8621,766
5320,5320,723
5621,5621,720
4299,4299,710
5629,5629,700
4321,4321,687
8899,8520,677
4711,8520,663
6831,6831,652
8559,8559,648
4520,4520,647
6512,6512,639
7820,8520,622
5610,4711,606
6209,6209,605
4752,4752,603
8425,8425,568
4910,4910,561
8710,8610,553
8121,8110,519
8520,8610,518
8610,8621,518
5610,5630,514
8412,8412,512
5630,5610,495
6201,6201,492
6619,6619,492
5320,5210,490
9311,9311,490
8520,4711,483
7010,7010,470
4941,5320,470
8891,8520,469
7219,7219,463
8610,8710,457
8520,7820,454
8430,8430,452
4299,4120,451
8299,8299,437
8730,8710,425
8710,8810,425
8121,8520,424
8520,8121,415
3511,3513,414
7911,7911,406
4771,4711,405
8422,8422,403
8790,8730,401
7820,4711,396
8220,7022,393
8520,8891,387
4773,4773,386
8220,8220,384
8621,8610,381
9602,9602,379
6629,6629,378
4759,4759,377
4778,4778,377
9700,9700,377
7311,7311,367
8690,8412,366
4669,4669,364
8610,8520,360
8710,8730,360
3811,3811,359
7810,7820,358
7500,7500,356
7820,7810,354
4711,5610,353
8730,8610,349
4399,4399,349
3522,3522,348
6832,6832,348
8730,8790,344
3600,3600,343
2910,2910,339
9499,9499,338
8810,8710,336
4639,4639,334
8623,8623,334
8810,8790,332
8520,8810,331
8730,8810,328
8412,8690,327
